GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,Date,AllActors,Candidate,Sentiment,TextForTopics,TopicNum,TopicLabel
1057663673,20220808,202208,2022,2022.5973,UGAGOV,MUSEVENI,UGA,,,,,GOV,,,KEN,KENYAN,KEN,,,,,,,,0,130,130,13,3,-4.4,20,1,20,-2.83524904214559,4,"Nairobi, Nairobi Area, Kenya",KE,KE05,-1.28333,36.8167,-2258072,4,"Nairobi, Nairobi Area, Kenya",KE,KE05,-1.28333,36.8167,-2258072,4,"Nairobi, Nairobi Area, Kenya",KE,KE05,-1.28333,36.8167,-2258072,20220808,https://www.observer.ug/news/headlines/74662-the-uganda-factor-in-kenya-s-presidential-elections,2022-08-08,MUSEVENI KENYAN HTTPS://WWW.OBSERVER.UG/NEWS/HEADLINES/74662-THE-UGANDA-FACTOR-IN-KENYA-S-PRESIDENTIAL-ELECTIONS,Kenyatta,Negative,"MUSEVENI KENYAN Nairobi, Nairobi Area, Kenya Nairobi, Nairobi Area, Kenya Nairobi, Nairobi Area, Kenya",-1,Uncategorised
1057664403,20220808,202208,2022,2022.5973,,,,,,,,,,,GOV,HEAD OF STATE,,,,,,GOV,,,1,36,36,3,1,4.0,10,1,10,-1.5625,0,,,,,,,4,"Nairobi, Nairobi Area, Kenya",KE,KE05,-1.28333,36.8167,-2258072,4,"Nairobi, Nairobi Area, Kenya",KE,KE05,-1.28333,36.8167,-2258072,20220808,https://www.capitalfm.co.ke/news/2022/08/president-kenyatta-says-bbi-flop-biggest-regret-of-tenure/,2022-08-08, HEAD OF STATE HTTPS://WWW.CAPITALFM.CO.KE/NEWS/2022/08/PRESIDENT-KENYATTA-SAYS-BBI-FLOP-BIGGEST-REGRET-OF-TENURE/,Kenyatta,Neutral,"HEAD OF STATE  Nairobi, Nairobi Area, Kenya Nairobi, Nairobi Area, Kenya",141,Other
1057664448,20220808,202208,2022,2022.5973,AFR,AFRICA,AFR,,,,,,,,KEN,KENYA,KEN,,,,,,,,1,43,43,4,1,2.8,2,1,2,-1.68067226890756,1,Nigeria,NI,NI,10.0,8.0,NI,1,Kenya,KE,KE,1.0,38.0,KE,1,Rwanda,RW,RW,-2.0,30.0,RW,20220808,https://mg.co.za/global/2022-08-08-us-secretary-of-state-antony-blinkens-visit-aims-to-reset-relations-with-south-africa/,2022-08-08,AFRICA KENYA HTTPS://MG.CO.ZA/GLOBAL/2022-08-08-US-SECRETARY-OF-STATE-ANTONY-BLINKENS-VISIT-AIMS-TO-RESET-RELATIONS-WITH-SOUTH-AFRICA/,General,Neutral,AFRICA KENYA Nigeria Kenya Rwanda,104,Other
1057664449,20220808,202208,2022,2022.5973,AFR,AFRICA,AFR,,,,,,,,KEN,KENYA,KEN,,,,,,,,1,43,43,4,1,2.8,1,1,1,-1.68067226890756,1,Nigeria,NI,NI,10.0,8.0,NI,1,Kenya,KE,KE,1.0,38.0,KE,1,South Africa,SF,SF,-30.0,26.0,SF,20220808,https://mg.co.za/global/2022-08-08-us-secretary-of-state-antony-blinkens-visit-aims-to-reset-relations-with-south-africa/,2022-08-08,AFRICA KENYA HTTPS://MG.CO.ZA/GLOBAL/2022-08-08-US-SECRETARY-OF-STATE-ANTONY-BLINKENS-VISIT-AIMS-TO-RESET-RELATIONS-WITH-SOUTH-AFRICA/,General,Neutral,AFRICA KENYA Nigeria Kenya South Africa,112,Other
1057664450,20220808,202208,2022,2022.5973,AFR,AFRICA,AFR,,,,,,,,KEN,KENYA,KEN,,,,,,,,1,43,43,4,1,2.8,1,1,1,-1.68067226890756,1,Nigeria,NI,NI,10.0,8.0,NI,1,Senegal,SG,SG,14.0,-14.0,SG,1,Rwanda,RW,RW,-2.0,30.0,RW,20220808,https://mg.co.za/global/2022-08-08-us-secretary-of-state-antony-blinkens-visit-aims-to-reset-relations-with-south-africa/,2022-08-08,AFRICA KENYA HTTPS://MG.CO.ZA/GLOBAL/2022-08-08-US-SECRETARY-OF-STATE-ANTONY-BLINKENS-VISIT-AIMS-TO-RESET-RELATIONS-WITH-SOUTH-AFRICA/,General,Neutral,AFRICA KENYA Nigeria Senegal Rwanda,104,Other
1057664451,20220808,202208,2022,2022.5973,AFR,AFRICA,AFR,,,,,,,,KEN,KENYA,KEN,,,,,,,,1,43,43,4,1,2.8,1,1,1,-1.68067226890756,1,Rwanda,RW,RW,-2.0,30.0,RW,1,Nigeria,NI,NI,10.0,8.0,NI,1,Rwanda,RW,RW,-2.0,30.0,RW,20220808,https://mg.co.za/global/2022-08-08-us-secretary-of-state-antony-blinkens-visit-aims-to-reset-relations-with-south-africa/,2022-08-08,AFRICA KENYA HTTPS://MG.CO.ZA/GLOBAL/2022-08-08-US-SECRETARY-OF-STATE-ANTONY-BLINKENS-VISIT-AIMS-TO-RESET-RELATIONS-WITH-SOUTH-AFRICA/,General,Neutral,AFRICA KENYA Rwanda Nigeria Rwanda,104,Other
1057664710,20220808,202208,2022,2022.5973,GOV,HEAD OF STATE,,,,,,GOV,,,,,,,,,,,,,1,36,36,3,1,4.0,30,2,30,-1.56658496732026,4,"Nairobi, Nairobi Area, Kenya",KE,KE05,-1.28333,36.8167,-2258072,0,,,,,,,4,"Nairobi, Nairobi Area, Kenya",KE,KE05,-1.28333,36.8167,-2258072,20220808,https://www.capitalfm.co.ke/news/2022/08/president-kenyatta-says-bbi-flop-biggest-regret-of-tenure/,2022-08-08,HEAD OF STATE  HTTPS://WWW.CAPITALFM.CO.KE/NEWS/2022/08/PRESIDENT-KENYATTA-SAYS-BBI-FLOP-BIGGEST-REGRET-OF-TENURE/,Kenyatta,Neutral,"HEAD OF STATE  Nairobi, Nairobi Area, Kenya  Nairobi, Nairobi Area, Kenya",141,Other
1057664844,20220808,202208,2022,2022.5973,KEN,KENYA,KEN,,,,,,,,,,,,,,,,,,1,10,10,1,1,0.0,8,1,8,-4.15738678544915,4,"Baringo, Rift Valley, Kenya",KE,KE08,0.633458,36.257,-2257004,0,,,,,,,4,"Baringo, Rift Valley, Kenya",KE,KE08,0.633458,36.257,-2257004,20220808,https://www.standardmedia.co.ke/evewoman/article/2001452720/i-lost-control-of-my-self-worth-after-giving-birth,2022-08-08,KENYA  HTTPS://WWW.STANDARDMEDIA.CO.KE/EVEWOMAN/ARTICLE/2001452720/I-LOST-CONTROL-OF-MY-SELF-WORTH-AFTER-GIVING-BIRTH,General,Negative,"KENYA  Baringo, Rift Valley, Kenya  Baringo, Rift Valley, Kenya",-1,Uncategorised
1057664845,20220808,202208,2022,2022.5973,KEN,KENYA,KEN,,,,,,,,AFR,AFRICA,AFR,,,,,,,,1,42,42,4,1,1.9,2,1,2,-1.68067226890756,1,Kenya,KE,KE,1.0,38.0,KE,1,Nigeria,NI,NI,10.0,8.0,NI,1,Rwanda,RW,RW,-2.0,30.0,RW,20220808,https://mg.co.za/global/2022-08-08-us-secretary-of-state-antony-blinkens-visit-aims-to-reset-relations-with-south-africa/,2022-08-08,KENYA AFRICA HTTPS://MG.CO.ZA/GLOBAL/2022-08-08-US-SECRETARY-OF-STATE-ANTONY-BLINKENS-VISIT-AIMS-TO-RESET-RELATIONS-WITH-SOUTH-AFRICA/,General,Neutral,KENYA AFRICA Kenya Nigeria Rwanda,104,Other
1057664846,20220808,202208,2022,2022.5973,KEN,KENYA,KEN,,,,,,,,AFR,AFRICA,AFR,,,,,,,,1,42,42,4,1,1.9,1,1,1,-1.68067226890756,1,Kenya,KE,KE,1.0,38.0,KE,1,Nigeria,NI,NI,10.0,8.0,NI,1,South Africa,SF,SF,-30.0,26.0,SF,20220808,https://mg.co.za/global/2022-08-08-us-secretary-of-state-antony-blinkens-visit-aims-to-reset-relations-with-south-africa/,2022-08-08,KENYA AFRICA HTTPS://MG.CO.ZA/GLOBAL/2022-08-08-US-SECRETARY-OF-STATE-ANTONY-BLINKENS-VISIT-AIMS-TO-RESET-RELATIONS-WITH-SOUTH-AFRICA/,General,Neutral,KENYA AFRICA Kenya Nigeria South Africa,112,Other
1057664847,20220808,202208,2022,2022.5973,KEN,KENYA,KEN,,,,,,,,AFR,AFRICA,AFR,,,,,,,,1,42,42,4,1,1.9,1,1,1,-1.68067226890756,1,Nigeria,NI,NI,10.0,8.0,NI,1,Rwanda,RW,RW,-2.0,30.0,RW,1,Rwanda,RW,RW,-2.0,30.0,RW,20220808,https://mg.co.za/global/2022-08-08-us-secretary-of-state-antony-blinkens-visit-aims-to-reset-relations-with-south-africa/,2022-08-08,KENYA AFRICA HTTPS://MG.CO.ZA/GLOBAL/2022-08-08-US-SECRETARY-OF-STATE-ANTONY-BLINKENS-VISIT-AIMS-TO-RESET-RELATIONS-WITH-SOUTH-AFRICA/,General,Neutral,KENYA AFRICA Nigeria Rwanda Rwanda,104,Other
1057664848,20220808,202208,2022,2022.5973,KEN,KENYA,KEN,,,,,,,,AFR,AFRICA,AFR,,,,,,,,1,42,42,4,1,1.9,1,1,1,-1.68067226890756,1,Senegal,SG,SG,14.0,-14.0,SG,1,Nigeria,NI,NI,10.0,8.0,NI,1,Rwanda,RW,RW,-2.0,30.0,RW,20220808,https://mg.co.za/global/2022-08-08-us-secretary-of-state-antony-blinkens-visit-aims-to-reset-relations-with-south-africa/,2022-08-08,KENYA AFRICA HTTPS://MG.CO.ZA/GLOBAL/2022-08-08-US-SECRETARY-OF-STATE-ANTONY-BLINKENS-VISIT-AIMS-TO-RESET-RELATIONS-WITH-SOUTH-AFRICA/,General,Neutral,KENYA AFRICA Senegal Nigeria Rwanda,104,Other
